Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Qatar,QAT,"Population, total",SP.POP.TOTL,2881060
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9890400
Oman,OMN,"Population, total",SP.POP.TOTL,5106622
Bahrain,BHR,"Population, total",SP.POP.TOTL,1701583
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,34813867
Kuwait,KWT,"Population, total",SP.POP.TOTL,4270563
Jordan,JOR,"Population, total",SP.POP.TOTL,10203140
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,17500657
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38928341
Israel,ISR,"Population, total",SP.POP.TOTL,9215100
Sweden,SWE,"Population, total",SP.POP.TOTL,10353442
Libya,LBY,"Population, total",SP.POP.TOTL,6871287
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,29825968
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,83992953
Sudan,SDN,"Population, total",SP.POP.TOTL,43849269
Mexico,MEX,"Population, total",SP.POP.TOTL,128932753
Lebanon,LBN,"Population, total",SP.POP.TOTL,6825442
Iraq,IRQ,"Population, total",SP.POP.TOTL,40222503
Algeria,DZA,"Population, total",SP.POP.TOTL,43851043
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,102334403
India,IND,"Population, total",SP.POP.TOTL,1380004385
Bhutan,BTN,"Population, total",SP.POP.TOTL,771612
Morocco,MAR,"Population, total",SP.POP.TOTL,36910558
Australia,AUS,"Population, total",SP.POP.TOTL,25693267
Honduras,HND,"Population, total",SP.POP.TOTL,9904608
Tunisia,TUN,"Population, total",SP.POP.TOTL,11818618
Turkiye,TUR,"Population, total",SP.POP.TOTL,84339067
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5094114
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6624554
Panama,PAN,"Population, total",SP.POP.TOTL,4314768
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28435943
Pakistan,PAK,"Population, total",SP.POP.TOTL,220892331
Guatemala,GTM,"Population, total",SP.POP.TOTL,16858333
Kenya,KEN,"Population, total",SP.POP.TOTL,53771300
Canada,CAN,"Population, total",SP.POP.TOTL,38037204
Belize,BLZ,"Population, total",SP.POP.TOTL,397621
Colombia,COL,"Population, total",SP.POP.TOTL,50882884
Japan,JPN,"Population, total",SP.POP.TOTL,126261000
Grenada,GRD,"Population, total",SP.POP.TOTL,112519
Greenland,GRL,"Population, total",SP.POP.TOTL,56367
New Zealand,NZL,"Population, total",SP.POP.TOTL,5090200
Bermuda,BMU,"Population, total",SP.POP.TOTL,63893
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10847904
Bangladesh,BGD,"Population, total",SP.POP.TOTL,164689383
Jamaica,JAM,"Population, total",SP.POP.TOTL,2961161
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,110947
Guyana,GUY,"Population, total",SP.POP.TOTL,786559
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1160164
Lesotho,LSO,"Population, total",SP.POP.TOTL,2142252
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9537642
Dominica,DMA,"Population, total",SP.POP.TOTL,71991
Suriname,SUR,"Population, total",SP.POP.TOTL,586634
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14862927
Ecuador,ECU,"Population, total",SP.POP.TOTL,17643060
Peru,PER,"Population, total",SP.POP.TOTL,32971846
Botswana,BWA,"Population, total",SP.POP.TOTL,2351625
Comoros,COM,"Population, total",SP.POP.TOTL,869595
Zambia,ZMB,"Population, total",SP.POP.TOTL,18383956
Uganda,UGA,"Population, total",SP.POP.TOTL,45741000
Paraguay,PRY,"Population, total",SP.POP.TOTL,7132530
Bolivia,BOL,"Population, total",SP.POP.TOTL,11673029
Somalia,SOM,"Population, total",SP.POP.TOTL,15893219
St. Lucia,LCA,"Population, total",SP.POP.TOTL,183629
Eritrea,ERI,"Population, total",SP.POP.TOTL,..
Haiti,HTI,"Population, total",SP.POP.TOTL,11402533
El Salvador,SLV,"Population, total",SP.POP.TOTL,6486201
South Africa,ZAF,"Population, total",SP.POP.TOTL,59308690
Indonesia,IDN,"Population, total",SP.POP.TOTL,273523621
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2072531
Malawi,MWI,"Population, total",SP.POP.TOTL,19129955
Ethiopia,ETH,"Population, total",SP.POP.TOTL,114963583
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1402985
Albania,ALB,"Population, total",SP.POP.TOTL,2837849
Mauritania,MRT,"Population, total",SP.POP.TOTL,4649660
Cuba,CUB,"Population, total",SP.POP.TOTL,11326616
Nepal,NPL,"Population, total",SP.POP.TOTL,29136808
Montenegro,MNE,"Population, total",SP.POP.TOTL,621306
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6579900
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5518092
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,26378275
Tanzania,TZA,"Population, total",SP.POP.TOTL,59734213
Gabon,GAB,"Population, total",SP.POP.TOTL,2225728
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,34232050
Samoa,WSM,"Population, total",SP.POP.TOTL,198410
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1318442
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1399491
Namibia,NAM,"Population, total",SP.POP.TOTL,2540916
Nigeria,NGA,"Population, total",SP.POP.TOTL,206139587
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3280815
Madagascar,MDG,"Population, total",SP.POP.TOTL,27691019
Angola,AGO,"Population, total",SP.POP.TOTL,32866268
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,393248
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6031187
Mali,MLI,"Population, total",SP.POP.TOTL,20250834
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,219161
Maldives,MDV,"Population, total",SP.POP.TOTL,540542
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,686878
Cameroon,CMR,"Population, total",SP.POP.TOTL,26545864
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,89561404
Brazil,BRA,"Population, total",SP.POP.TOTL,212559409
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2416664
Liberia,LBR,"Population, total",SP.POP.TOTL,5057677
Chad,TCD,"Population, total",SP.POP.TOTL,16425859
Mongolia,MNG,"Population, total",SP.POP.TOTL,3278292
South Sudan,SSD,"Population, total",SP.POP.TOTL,11193729
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,59194
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8947027
Mozambique,MOZ,"Population, total",SP.POP.TOTL,31255435
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4829764
Togo,TGO,"Population, total",SP.POP.TOTL,8278737
American Samoa,ASM,"Population, total",SP.POP.TOTL,55197
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5458827
Guinea,GIN,"Population, total",SP.POP.TOTL,13132792
Ghana,GHA,"Population, total",SP.POP.TOTL,31072945
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,57557
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3281538
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121
Benin,BEN,"Population, total",SP.POP.TOTL,12123198
Chile,CHL,"Population, total",SP.POP.TOTL,19116209
Niger,NER,"Population, total",SP.POP.TOTL,24206636
Slovenia,SVN,"Population, total",SP.POP.TOTL,2102419
Philippines,PHL,"Population, total",SP.POP.TOTL,109581085
Tonga,TON,"Population, total",SP.POP.TOTL,105697
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10697858
Serbia,SRB,"Population, total",SP.POP.TOTL,6899126
Senegal,SEN,"Population, total",SP.POP.TOTL,16743930
Malaysia,MYS,"Population, total",SP.POP.TOTL,32365998
Vanuatu,VUT,"Population, total",SP.POP.TOTL,307150
Djibouti,DJI,"Population, total",SP.POP.TOTL,988002
Argentina,ARG,"Population, total",SP.POP.TOTL,45376763
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1967998
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7976985
Poland,POL,"Population, total",SP.POP.TOTL,37899070
Barbados,BRB,"Population, total",SP.POP.TOTL,287371
Fiji,FJI,"Population, total",SP.POP.TOTL,896444
Seychelles,SYC,"Population, total",SP.POP.TOTL,98462
United States,USA,"Population, total",SP.POP.TOTL,331501080
Uruguay,URY,"Population, total",SP.POP.TOTL,3473727
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7275556
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18755666
